domain,scenario,seed,element_id,gt_fault,gt_self_clearing,lead_gain_min,t_first_correct_verdict,time_to_correct_diagnosis_min,degraded_minutes,down_minutes,n_ambiguous_decisions,n_wait_decisions,conv_escalated,layer_escalated,conv_unnecessary_dispatch,layer_unnecessary_dispatch,t_fault_onset,t_first_detectable,t_decision_layer_actionable,t_conventional_escalation,t_ticket,t_service_impact,t_outage,t_recovery,t_environment_cleared,false_calm_window_min,pre_escalation_window_min,exposure_window_min,decision_margin_min,conventional_margin_min,time_to_diagnosis_min,detect_tp,detect_fp,detect_fn,detect_tn,detect_precision,detect_recall,detect_f1,detect_fpr,detect_fnr,layer_esc_tp,layer_esc_fp,layer_esc_fn,layer_esc_tn,layer_esc_precision,layer_esc_recall,layer_esc_f1,layer_esc_fpr,layer_esc_fnr,conv_esc_tp,conv_esc_fp,conv_esc_fn,conv_esc_tn,conv_esc_precision,conv_esc_recall,conv_esc_f1,conv_esc_fpr,conv_esc_fnr,provenance,exposure_conventional,exposure_decision_layer,exposure_delta,exposure_delta_pct,decision_layer_dispatched_unnecessarily,conventional_dispatched_unnecessarily,sweep_axis,param_label,smoothing_window,persistence_m,persistence_n,escalation_delay_min,warmup_variant
microwave,mw_rain_cell,11,POP~R_D00_1,rain_fade,True,3.0,177.0,0.0,0.0,0.0,0,25,True,False,True,False,150.0,177.0,177.0,180.0,186.0,,,,260.0,3.0,3.0,,,,0.0,25,0,26,550,1.0,0.49019607843137253,0.6578947368421052,0.0,0.5098039215686274,0,0,0,601,,,,0.0,,0,421,0,180,0.0,,,0.7004991680532446,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_rain_cell,12,POP~R_D00_1,rain_fade,True,4.0,177.0,0.0,0.0,0.0,0,21,True,True,True,True,150.0,177.0,177.0,181.0,187.0,,,,260.0,4.0,4.0,,,,0.0,23,0,28,550,1.0,0.45098039215686275,0.6216216216216216,0.0,0.5490196078431373,0,2,0,599,0.0,,,0.0033277870216306157,,0,420,0,181,0.0,,,0.6988352745424293,,ILLUSTRATIVE - not derived from operator financial data,900.0,900.0,0.0,0.0,True,True,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_rain_cell,13,POP~R_D00_1,rain_fade,True,3.0,180.0,0.0,0.0,0.0,0,20,True,False,True,False,150.0,180.0,180.0,183.0,189.0,,,,260.0,3.0,3.0,,,,0.0,20,0,31,550,1.0,0.39215686274509803,0.5633802816901409,0.0,0.6078431372549019,0,0,0,601,,,,0.0,,0,418,0,183,0.0,,,0.6955074875207987,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_rain_cell,14,POP~R_D00_1,rain_fade,True,5.0,173.0,0.0,0.0,0.0,0,27,True,False,True,False,150.0,173.0,173.0,178.0,184.0,,,,260.0,5.0,5.0,,,,0.0,27,0,24,550,1.0,0.5294117647058824,0.6923076923076924,0.0,0.47058823529411764,0,0,0,601,,,,0.0,,0,423,0,178,0.0,,,0.7038269550748752,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_rain_cell,15,POP~R_D00_1,rain_fade,True,8.0,175.0,0.0,0.0,0.0,0,27,True,False,True,False,150.0,175.0,175.0,183.0,189.0,,,,260.0,8.0,8.0,,,,0.0,27,0,24,550,1.0,0.5294117647058824,0.6923076923076924,0.0,0.47058823529411764,0,0,0,601,,,,0.0,,0,418,0,183,0.0,,,0.6955074875207987,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_directional_hardware,1,POP~R_D05_1,hardware_directional,False,1.0,232.0,8.0,316.0,0.0,8,0,True,True,False,False,170.0,224.0,232.0,233.0,239.0,280.0,,,,9.0,1.0,56.0,48.0,47.0,8.0,377,0,53,171,1.0,0.8767441860465116,0.9343246592317225,0.0,0.12325581395348838,369,0,61,171,1.0,0.858139534883721,0.9236545682102629,0.0,0.14186046511627906,368,0,62,171,1.0,0.8558139534883721,0.9223057644110275,0.0,0.14418604651162792,ILLUSTRATIVE - not derived from operator financial data,2356.4,2356.29,0.11,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_directional_hardware,2,POP~R_D05_1,hardware_directional,False,-2.0,241.0,10.0,323.0,0.0,10,0,True,True,False,False,170.0,231.0,241.0,239.0,245.0,277.0,,,,8.0,-2.0,46.0,36.0,38.0,10.0,370,0,60,171,1.0,0.8604651162790697,0.9249999999999999,0.0,0.13953488372093023,360,0,70,171,1.0,0.8372093023255814,0.9113924050632911,0.0,0.16279069767441862,362,0,68,171,1.0,0.8418604651162791,0.9141414141414141,0.0,0.15813953488372093,ILLUSTRATIVE - not derived from operator financial data,2359.2,2359.2,0.0,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_directional_hardware,3,POP~R_D05_1,hardware_directional,False,6.0,235.0,5.0,323.0,0.0,10,0,True,True,False,False,170.0,230.0,235.0,241.0,247.0,276.0,,,,11.0,6.0,46.0,41.0,35.0,5.0,371,0,59,171,1.0,0.8627906976744186,0.9263420724094882,0.0,0.1372093023255814,361,0,69,171,1.0,0.8395348837209302,0.9127686472819216,0.0,0.16046511627906976,360,0,70,171,1.0,0.8372093023255814,0.9113924050632911,0.0,0.16279069767441862,ILLUSTRATIVE - not derived from operator financial data,2359.2,2358.55,0.65,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_directional_hardware,4,POP~R_D05_1,hardware_directional,False,1.0,236.0,7.0,320.0,0.0,7,0,True,True,False,False,170.0,229.0,236.0,237.0,243.0,276.0,,,,8.0,1.0,47.0,40.0,39.0,7.0,372,0,58,171,1.0,0.8651162790697674,0.9276807980049876,0.0,0.13488372093023257,365,0,65,171,1.0,0.8488372093023255,0.9182389937106918,0.0,0.1511627906976744,364,0,66,171,1.0,0.8465116279069768,0.9168765743073048,0.0,0.15348837209302327,ILLUSTRATIVE - not derived from operator financial data,2358.0,2357.89,0.11,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_directional_hardware,5,POP~R_D05_1,hardware_directional,False,-1.0,235.0,9.0,321.0,0.0,9,0,True,True,False,False,170.0,226.0,235.0,234.0,240.0,280.0,,,,8.0,-1.0,54.0,45.0,46.0,9.0,375,0,55,171,1.0,0.872093023255814,0.9316770186335404,0.0,0.12790697674418605,366,0,64,171,1.0,0.8511627906976744,0.9195979899497487,0.0,0.14883720930232558,367,0,63,171,1.0,0.8534883720930233,0.9209535759096612,0.0,0.14651162790697675,ILLUSTRATIVE - not derived from operator financial data,2358.4,2358.4,0.0,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_directional_hardware,6,POP~R_D05_1,hardware_directional,False,0.0,230.0,9.0,317.0,0.0,9,0,True,True,False,False,170.0,221.0,230.0,230.0,236.0,280.0,,,,9.0,0.0,59.0,50.0,50.0,9.0,380,0,50,171,1.0,0.8837209302325582,0.9382716049382717,0.0,0.11627906976744186,371,0,59,171,1.0,0.8627906976744186,0.9263420724094882,0.0,0.1372093023255814,371,0,59,171,1.0,0.8627906976744186,0.9263420724094882,0.0,0.1372093023255814,ILLUSTRATIVE - not derived from operator financial data,2356.8,2356.8,0.0,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_directional_hardware,7,POP~R_D05_1,hardware_directional,False,1.0,239.0,13.0,322.0,0.0,13,0,True,True,False,False,170.0,226.0,239.0,240.0,246.0,279.0,,,,14.0,1.0,53.0,40.0,39.0,13.0,375,0,55,171,1.0,0.872093023255814,0.9316770186335404,0.0,0.12790697674418605,362,0,68,171,1.0,0.8418604651162791,0.9141414141414141,0.0,0.15813953488372093,361,0,69,171,1.0,0.8395348837209302,0.9127686472819216,0.0,0.16046511627906976,ILLUSTRATIVE - not derived from operator financial data,2358.8,2358.69,0.11,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_directional_hardware,8,POP~R_D05_1,hardware_directional,False,3.0,233.0,12.0,325.0,0.0,12,0,True,True,False,False,170.0,221.0,233.0,236.0,242.0,274.0,,,,15.0,3.0,53.0,41.0,38.0,12.0,380,0,50,171,1.0,0.8837209302325582,0.9382716049382717,0.0,0.11627906976744186,368,0,62,171,1.0,0.8558139534883721,0.9223057644110275,0.0,0.14418604651162792,365,0,65,171,1.0,0.8488372093023255,0.9182389937106918,0.0,0.1511627906976744,ILLUSTRATIVE - not derived from operator financial data,2360.0,2359.68,0.32,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_directional_hardware,9,POP~R_D05_1,hardware_directional,False,6.0,235.0,10.0,322.0,0.0,10,0,True,True,False,False,170.0,225.0,235.0,241.0,247.0,279.0,,,,16.0,6.0,54.0,44.0,38.0,10.0,376,0,54,171,1.0,0.8744186046511628,0.9330024813895782,0.0,0.12558139534883722,366,0,64,171,1.0,0.8511627906976744,0.9195979899497487,0.0,0.14883720930232558,360,0,70,171,1.0,0.8372093023255814,0.9113924050632911,0.0,0.16279069767441862,ILLUSTRATIVE - not derived from operator financial data,2358.8,2358.15,0.65,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_directional_hardware,10,POP~R_D05_1,hardware_directional,False,5.0,232.0,7.0,326.0,0.0,7,0,True,True,False,False,170.0,225.0,232.0,237.0,243.0,275.0,,,,12.0,5.0,50.0,43.0,38.0,7.0,376,0,54,171,1.0,0.8744186046511628,0.9330024813895782,0.0,0.12558139534883722,369,0,61,171,1.0,0.858139534883721,0.9236545682102629,0.0,0.14186046511627906,364,0,66,171,1.0,0.8465116279069768,0.9168765743073048,0.0,0.15348837209302327,ILLUSTRATIVE - not derived from operator financial data,2360.4,2359.86,0.54,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_directional_hardware,11,POP~R_D05_1,hardware_directional,False,-4.0,243.0,12.0,324.0,0.0,12,0,True,True,False,False,170.0,231.0,243.0,239.0,245.0,276.0,,,,8.0,-4.0,45.0,33.0,37.0,12.0,370,0,60,171,1.0,0.8604651162790697,0.9249999999999999,0.0,0.13953488372093023,358,0,72,171,1.0,0.8325581395348837,0.9086294416243654,0.0,0.16744186046511628,362,0,68,171,1.0,0.8418604651162791,0.9141414141414141,0.0,0.15813953488372093,ILLUSTRATIVE - not derived from operator financial data,2359.6,2359.6,0.0,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
