domain,scenario,seed,element_id,gt_fault,gt_self_clearing,lead_gain_min,t_first_correct_verdict,time_to_correct_diagnosis_min,degraded_minutes,down_minutes,n_ambiguous_decisions,n_wait_decisions,conv_escalated,layer_escalated,conv_unnecessary_dispatch,layer_unnecessary_dispatch,t_fault_onset,t_first_detectable,t_decision_layer_actionable,t_conventional_escalation,t_ticket,t_service_impact,t_outage,t_recovery,t_environment_cleared,false_calm_window_min,pre_escalation_window_min,exposure_window_min,decision_margin_min,conventional_margin_min,time_to_diagnosis_min,detect_tp,detect_fp,detect_fn,detect_tn,detect_precision,detect_recall,detect_f1,detect_fpr,detect_fnr,layer_esc_tp,layer_esc_fp,layer_esc_fn,layer_esc_tn,layer_esc_precision,layer_esc_recall,layer_esc_f1,layer_esc_fpr,layer_esc_fnr,conv_esc_tp,conv_esc_fp,conv_esc_fn,conv_esc_tn,conv_esc_precision,conv_esc_recall,conv_esc_f1,conv_esc_fpr,conv_esc_fnr,provenance,exposure_conventional,exposure_decision_layer,exposure_delta,exposure_delta_pct,decision_layer_dispatched_unnecessarily,conventional_dispatched_unnecessarily
microwave,mw_directional_hardware,2,POP~R_D05_1,hardware_directional,False,11.0,241.0,10.0,323.0,0.0,10,0,True,True,False,False,170.0,231.0,241.0,252.0,258.0,277.0,,,,21.0,11.0,46.0,36.0,25.0,10.0,370,0,60,171,1.0,0.8604651162790697,0.9249999999999999,0.0,0.13953488372093023,360,0,70,171,1.0,0.8372093023255814,0.9113924050632911,0.0,0.16279069767441862,349,0,81,171,1.0,0.8116279069767441,0.8960205391527599,0.0,0.1883720930232558,ILLUSTRATIVE - not derived from operator financial data,2359.2,2358.01,1.19,0.1,False,False
microwave,mw_directional_hardware,3,POP~R_D05_1,hardware_directional,False,18.0,235.0,5.0,323.0,0.0,10,0,True,True,False,False,170.0,230.0,235.0,253.0,259.0,276.0,,,,23.0,18.0,46.0,41.0,23.0,5.0,371,0,59,171,1.0,0.8627906976744186,0.9263420724094882,0.0,0.1372093023255814,361,0,69,171,1.0,0.8395348837209302,0.9127686472819216,0.0,0.16046511627906976,348,0,82,171,1.0,0.8093023255813954,0.8946015424164524,0.0,0.19069767441860466,ILLUSTRATIVE - not derived from operator financial data,2359.2,2357.26,1.94,0.1,False,False
microwave,mw_directional_hardware,4,POP~R_D05_1,hardware_directional,False,13.0,236.0,7.0,320.0,0.0,7,0,True,True,False,False,170.0,229.0,236.0,249.0,255.0,276.0,,,,20.0,13.0,47.0,40.0,27.0,7.0,372,0,58,171,1.0,0.8651162790697674,0.9276807980049876,0.0,0.13488372093023257,365,0,65,171,1.0,0.8488372093023255,0.9182389937106918,0.0,0.1511627906976744,352,0,78,171,1.0,0.8186046511627907,0.9002557544757033,0.0,0.1813953488372093,ILLUSTRATIVE - not derived from operator financial data,2358.0,2356.6,1.4,0.1,False,False
microwave,mw_directional_hardware,5,POP~R_D05_1,hardware_directional,False,12.0,235.0,9.0,321.0,0.0,9,0,True,True,False,False,170.0,226.0,235.0,247.0,253.0,280.0,,,,21.0,12.0,54.0,45.0,33.0,9.0,375,0,55,171,1.0,0.872093023255814,0.9316770186335404,0.0,0.12790697674418605,366,0,64,171,1.0,0.8511627906976744,0.9195979899497487,0.0,0.14883720930232558,354,0,76,171,1.0,0.8232558139534883,0.903061224489796,0.0,0.17674418604651163,ILLUSTRATIVE - not derived from operator financial data,2358.4,2357.1,1.3,0.1,False,False
microwave,mw_directional_hardware,6,POP~R_D05_1,hardware_directional,False,13.0,230.0,9.0,317.0,0.0,9,0,True,True,False,False,170.0,221.0,230.0,243.0,249.0,280.0,,,,22.0,13.0,59.0,50.0,37.0,9.0,380,0,50,171,1.0,0.8837209302325582,0.9382716049382717,0.0,0.11627906976744186,371,0,59,171,1.0,0.8627906976744186,0.9263420724094882,0.0,0.1372093023255814,358,0,72,171,1.0,0.8325581395348837,0.9086294416243654,0.0,0.16744186046511628,ILLUSTRATIVE - not derived from operator financial data,2356.8,2355.4,1.4,0.1,False,False
microwave,mw_directional_hardware,7,POP~R_D05_1,hardware_directional,False,12.0,239.0,13.0,322.0,0.0,13,0,True,True,False,False,170.0,226.0,239.0,251.0,257.0,279.0,,,,25.0,12.0,53.0,40.0,28.0,13.0,375,0,55,171,1.0,0.872093023255814,0.9316770186335404,0.0,0.12790697674418605,362,0,68,171,1.0,0.8418604651162791,0.9141414141414141,0.0,0.15813953488372093,350,0,80,171,1.0,0.813953488372093,0.8974358974358974,0.0,0.18604651162790697,ILLUSTRATIVE - not derived from operator financial data,2358.8,2357.5,1.3,0.1,False,False
microwave,mw_directional_hardware,8,POP~R_D05_1,hardware_directional,False,14.0,233.0,12.0,325.0,0.0,12,0,True,True,False,False,170.0,221.0,233.0,247.0,253.0,274.0,,,,26.0,14.0,53.0,41.0,27.0,12.0,380,0,50,171,1.0,0.8837209302325582,0.9382716049382717,0.0,0.11627906976744186,368,0,62,171,1.0,0.8558139534883721,0.9223057644110275,0.0,0.14418604651162792,354,0,76,171,1.0,0.8232558139534883,0.903061224489796,0.0,0.17674418604651163,ILLUSTRATIVE - not derived from operator financial data,2360.0,2358.49,1.51,0.1,False,False
microwave,mw_directional_hardware,9,POP~R_D05_1,hardware_directional,False,18.0,235.0,10.0,322.0,0.0,10,0,True,True,False,False,170.0,225.0,235.0,253.0,259.0,279.0,,,,28.0,18.0,54.0,44.0,26.0,10.0,376,0,54,171,1.0,0.8744186046511628,0.9330024813895782,0.0,0.12558139534883722,366,0,64,171,1.0,0.8511627906976744,0.9195979899497487,0.0,0.14883720930232558,348,0,82,171,1.0,0.8093023255813954,0.8946015424164524,0.0,0.19069767441860466,ILLUSTRATIVE - not derived from operator financial data,2358.8,2356.86,1.94,0.1,False,False
microwave,mw_directional_hardware,10,POP~R_D05_1,hardware_directional,False,21.0,232.0,7.0,326.0,0.0,7,0,True,True,False,False,170.0,225.0,232.0,253.0,259.0,275.0,,,,28.0,21.0,50.0,43.0,22.0,7.0,376,0,54,171,1.0,0.8744186046511628,0.9330024813895782,0.0,0.12558139534883722,369,0,61,171,1.0,0.858139534883721,0.9236545682102629,0.0,0.14186046511627906,348,0,82,171,1.0,0.8093023255813954,0.8946015424164524,0.0,0.19069767441860466,ILLUSTRATIVE - not derived from operator financial data,2360.4,2358.13,2.27,0.1,False,False
microwave,mw_directional_hardware,11,POP~R_D05_1,hardware_directional,False,10.0,243.0,12.0,324.0,0.0,12,0,True,True,False,False,170.0,231.0,243.0,253.0,259.0,276.0,,,,22.0,10.0,45.0,33.0,23.0,12.0,370,0,60,171,1.0,0.8604651162790697,0.9249999999999999,0.0,0.13953488372093023,358,0,72,171,1.0,0.8325581395348837,0.9086294416243654,0.0,0.16744186046511628,348,0,82,171,1.0,0.8093023255813954,0.8946015424164524,0.0,0.19069767441860466,ILLUSTRATIVE - not derived from operator financial data,2359.6,2358.52,1.08,0.0,False,False
microwave,mw_directional_hardware,12,POP~R_D05_1,hardware_directional,False,15.0,236.0,11.0,326.0,0.0,11,0,True,True,False,False,170.0,225.0,236.0,251.0,257.0,268.0,,,,26.0,15.0,43.0,32.0,17.0,11.0,376,0,54,171,1.0,0.8744186046511628,0.9330024813895782,0.0,0.12558139534883722,365,0,65,171,1.0,0.8488372093023255,0.9182389937106918,0.0,0.1511627906976744,350,0,80,171,1.0,0.813953488372093,0.8974358974358974,0.0,0.18604651162790697,ILLUSTRATIVE - not derived from operator financial data,2360.4,2358.78,1.62,0.1,False,False
microwave,mw_directional_hardware,13,POP~R_D05_1,hardware_directional,False,16.0,236.0,11.0,320.0,0.0,11,0,True,True,False,False,170.0,225.0,236.0,252.0,258.0,279.0,,,,27.0,16.0,54.0,43.0,27.0,11.0,376,0,54,171,1.0,0.8744186046511628,0.9330024813895782,0.0,0.12558139534883722,365,0,65,171,1.0,0.8488372093023255,0.9182389937106918,0.0,0.1511627906976744,349,0,81,171,1.0,0.8116279069767441,0.8960205391527599,0.0,0.1883720930232558,ILLUSTRATIVE - not derived from operator financial data,2358.0,2356.27,1.73,0.1,False,False
microwave,mw_directional_hardware,14,POP~R_D05_1,hardware_directional,False,9.0,236.0,12.0,325.0,0.0,9,0,True,True,False,False,170.0,224.0,236.0,245.0,251.0,273.0,,,,21.0,9.0,49.0,37.0,28.0,12.0,374,0,56,171,1.0,0.8697674418604651,0.9303482587064676,0.0,0.13023255813953488,365,0,65,171,1.0,0.8488372093023255,0.9182389937106918,0.0,0.1511627906976744,356,0,74,171,1.0,0.827906976744186,0.905852417302799,0.0,0.17209302325581396,ILLUSTRATIVE - not derived from operator financial data,2360.0,2359.03,0.97,0.0,False,False
microwave,mw_directional_hardware,15,POP~R_D05_1,hardware_directional,False,12.0,235.0,7.0,325.0,0.0,7,0,True,True,False,False,170.0,228.0,235.0,247.0,253.0,276.0,,,,19.0,12.0,48.0,41.0,29.0,7.0,373,0,57,171,1.0,0.8674418604651163,0.9290161892901618,0.0,0.1325581395348837,366,0,64,171,1.0,0.8511627906976744,0.9195979899497487,0.0,0.14883720930232558,354,0,76,171,1.0,0.8232558139534883,0.903061224489796,0.0,0.17674418604651163,ILLUSTRATIVE - not derived from operator financial data,2360.0,2358.7,1.3,0.1,False,False
microwave,mw_directional_hardware,16,POP~R_D05_1,hardware_directional,False,13.0,236.0,8.0,322.0,0.0,8,0,True,True,False,False,170.0,228.0,236.0,249.0,255.0,277.0,,,,21.0,13.0,49.0,41.0,28.0,8.0,373,0,57,171,1.0,0.8674418604651163,0.9290161892901618,0.0,0.1325581395348837,365,0,65,171,1.0,0.8488372093023255,0.9182389937106918,0.0,0.1511627906976744,352,0,78,171,1.0,0.8186046511627907,0.9002557544757033,0.0,0.1813953488372093,ILLUSTRATIVE - not derived from operator financial data,2358.8,2357.4,1.4,0.1,False,False
