domain,scenario,seed,element_id,gt_fault,gt_self_clearing,lead_gain_min,t_first_correct_verdict,time_to_correct_diagnosis_min,degraded_minutes,down_minutes,n_ambiguous_decisions,n_wait_decisions,conv_escalated,layer_escalated,conv_unnecessary_dispatch,layer_unnecessary_dispatch,t_fault_onset,t_first_detectable,t_decision_layer_actionable,t_conventional_escalation,t_ticket,t_service_impact,t_outage,t_recovery,t_environment_cleared,false_calm_window_min,pre_escalation_window_min,exposure_window_min,decision_margin_min,conventional_margin_min,time_to_diagnosis_min,detect_tp,detect_fp,detect_fn,detect_tn,detect_precision,detect_recall,detect_f1,detect_fpr,detect_fnr,layer_esc_tp,layer_esc_fp,layer_esc_fn,layer_esc_tn,layer_esc_precision,layer_esc_recall,layer_esc_f1,layer_esc_fpr,layer_esc_fnr,conv_esc_tp,conv_esc_fp,conv_esc_fn,conv_esc_tn,conv_esc_precision,conv_esc_recall,conv_esc_f1,conv_esc_fpr,conv_esc_fnr,provenance,exposure_conventional,exposure_decision_layer,exposure_delta,exposure_delta_pct,decision_layer_dispatched_unnecessarily,conventional_dispatched_unnecessarily
microwave,mw_rain_cell,12,POP~R_D00_1,rain_fade,True,16.0,177.0,0.0,0.0,0.0,0,21,True,True,True,True,150.0,177.0,177.0,193.0,199.0,,,,260.0,16.0,16.0,,,,0.0,23,0,28,550,1.0,0.45098039215686275,0.6216216216216216,0.0,0.5490196078431373,0,2,0,599,0.0,,,0.0033277870216306157,,0,408,0,193,0.0,,,0.6788685524126455,,ILLUSTRATIVE - not derived from operator financial data,900.0,900.0,0.0,0.0,True,True
microwave,mw_rain_cell,13,POP~R_D00_1,rain_fade,True,14.0,180.0,0.0,0.0,0.0,0,20,True,False,True,False,150.0,180.0,180.0,194.0,200.0,,,,260.0,14.0,14.0,,,,0.0,20,0,31,550,1.0,0.39215686274509803,0.5633802816901409,0.0,0.6078431372549019,0,0,0,601,,,,0.0,,0,407,0,194,0.0,,,0.6772046589018302,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,14,POP~R_D00_1,rain_fade,True,18.0,173.0,0.0,0.0,0.0,0,27,True,False,True,False,150.0,173.0,173.0,191.0,197.0,,,,260.0,18.0,18.0,,,,0.0,27,0,24,550,1.0,0.5294117647058824,0.6923076923076924,0.0,0.47058823529411764,0,0,0,601,,,,0.0,,0,410,0,191,0.0,,,0.6821963394342762,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,15,POP~R_D00_1,rain_fade,True,19.0,175.0,0.0,0.0,0.0,0,27,True,False,True,False,150.0,175.0,175.0,194.0,200.0,,,,260.0,19.0,19.0,,,,0.0,27,0,24,550,1.0,0.5294117647058824,0.6923076923076924,0.0,0.47058823529411764,0,0,0,601,,,,0.0,,0,407,0,194,0.0,,,0.6772046589018302,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,16,POP~R_D00_1,rain_fade,True,16.0,178.0,0.0,0.0,0.0,0,22,True,False,True,False,150.0,178.0,178.0,194.0,200.0,,,,260.0,16.0,16.0,,,,0.0,22,0,29,550,1.0,0.43137254901960786,0.6027397260273972,0.0,0.5686274509803921,0,0,0,601,,,,0.0,,0,407,0,194,0.0,,,0.6772046589018302,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,17,POP~R_D00_1,rain_fade,True,17.0,175.0,0.0,0.0,0.0,0,27,True,False,True,False,150.0,175.0,175.0,192.0,198.0,,,,260.0,17.0,17.0,,,,0.0,27,0,24,550,1.0,0.5294117647058824,0.6923076923076924,0.0,0.47058823529411764,0,0,0,601,,,,0.0,,0,409,0,192,0.0,,,0.6805324459234608,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,18,POP~R_D00_1,rain_fade,True,16.0,177.0,0.0,0.0,0.0,0,24,True,False,True,False,150.0,177.0,177.0,193.0,199.0,,,,260.0,16.0,16.0,,,,0.0,24,0,27,550,1.0,0.47058823529411764,0.6399999999999999,0.0,0.5294117647058824,0,0,0,601,,,,0.0,,0,408,0,193,0.0,,,0.6788685524126455,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,19,POP~R_D00_1,rain_fade,True,15.0,177.0,0.0,0.0,0.0,0,24,True,False,True,False,150.0,177.0,177.0,192.0,198.0,,,,260.0,15.0,15.0,,,,0.0,24,0,27,550,1.0,0.47058823529411764,0.6399999999999999,0.0,0.5294117647058824,0,0,0,601,,,,0.0,,0,409,0,192,0.0,,,0.6805324459234608,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,20,POP~R_D00_1,rain_fade,True,16.0,178.0,0.0,0.0,0.0,0,23,True,False,True,False,150.0,178.0,178.0,194.0,200.0,,,,260.0,16.0,16.0,,,,0.0,23,0,28,550,1.0,0.45098039215686275,0.6216216216216216,0.0,0.5490196078431373,0,0,0,601,,,,0.0,,0,407,0,194,0.0,,,0.6772046589018302,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,21,POP~R_D00_1,rain_fade,True,18.0,177.0,0.0,0.0,0.0,0,23,True,True,True,True,150.0,177.0,177.0,195.0,201.0,,,,260.0,18.0,18.0,,,,0.0,25,0,26,550,1.0,0.49019607843137253,0.6578947368421052,0.0,0.5098039215686274,0,2,0,599,0.0,,,0.0033277870216306157,,0,406,0,195,0.0,,,0.6755407653910149,,ILLUSTRATIVE - not derived from operator financial data,900.0,900.0,0.0,0.0,True,True
microwave,mw_rain_cell,22,POP~R_D00_1,rain_fade,True,18.0,174.0,0.0,0.0,0.0,0,26,True,False,True,False,150.0,174.0,174.0,192.0,198.0,,,,260.0,18.0,18.0,,,,0.0,26,0,25,550,1.0,0.5098039215686274,0.6753246753246753,0.0,0.49019607843137253,0,0,0,601,,,,0.0,,0,409,0,192,0.0,,,0.6805324459234608,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,23,POP~R_D00_1,rain_fade,True,18.0,175.0,0.0,0.0,0.0,0,25,True,False,True,False,150.0,175.0,175.0,193.0,199.0,,,,260.0,18.0,18.0,,,,0.0,25,0,26,550,1.0,0.49019607843137253,0.6578947368421052,0.0,0.5098039215686274,0,0,0,601,,,,0.0,,0,408,0,193,0.0,,,0.6788685524126455,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,24,POP~R_D00_1,rain_fade,True,17.0,176.0,0.0,0.0,0.0,0,23,True,False,True,False,150.0,176.0,176.0,193.0,199.0,,,,260.0,17.0,17.0,,,,0.0,23,0,28,550,1.0,0.45098039215686275,0.6216216216216216,0.0,0.5490196078431373,0,0,0,601,,,,0.0,,0,408,0,193,0.0,,,0.6788685524126455,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,25,POP~R_D00_1,rain_fade,True,17.0,176.0,0.0,0.0,0.0,0,23,True,False,True,False,150.0,176.0,176.0,193.0,199.0,,,,260.0,17.0,17.0,,,,0.0,23,0,28,550,1.0,0.45098039215686275,0.6216216216216216,0.0,0.5490196078431373,0,0,0,601,,,,0.0,,0,408,0,193,0.0,,,0.6788685524126455,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,26,POP~R_D00_1,rain_fade,True,16.0,176.0,0.0,0.0,0.0,0,25,True,False,True,False,150.0,176.0,176.0,192.0,198.0,,,,260.0,16.0,16.0,,,,0.0,25,0,26,550,1.0,0.49019607843137253,0.6578947368421052,0.0,0.5098039215686274,0,0,0,601,,,,0.0,,0,409,0,192,0.0,,,0.6805324459234608,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,27,POP~R_D00_1,rain_fade,True,15.0,179.0,0.0,0.0,0.0,0,21,True,False,True,False,150.0,179.0,179.0,194.0,200.0,,,,260.0,15.0,15.0,,,,0.0,21,0,30,550,1.0,0.4117647058823529,0.5833333333333334,0.0,0.5882352941176471,0,0,0,601,,,,0.0,,0,407,0,194,0.0,,,0.6772046589018302,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,28,POP~R_D00_1,rain_fade,True,15.0,178.0,0.0,0.0,0.0,0,22,True,False,True,False,150.0,178.0,178.0,193.0,199.0,,,,260.0,15.0,15.0,,,,0.0,22,0,29,550,1.0,0.43137254901960786,0.6027397260273972,0.0,0.5686274509803921,0,0,0,601,,,,0.0,,0,408,0,193,0.0,,,0.6788685524126455,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,29,POP~R_D00_1,rain_fade,True,16.0,177.0,0.0,0.0,0.0,0,24,True,False,True,False,150.0,177.0,177.0,193.0,199.0,,,,260.0,16.0,16.0,,,,0.0,24,0,27,550,1.0,0.47058823529411764,0.6399999999999999,0.0,0.5294117647058824,0,0,0,601,,,,0.0,,0,408,0,193,0.0,,,0.6788685524126455,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,30,POP~R_D00_1,rain_fade,True,19.0,174.0,0.0,0.0,0.0,0,26,True,False,True,False,150.0,174.0,174.0,193.0,199.0,,,,260.0,19.0,19.0,,,,0.0,26,0,25,550,1.0,0.5098039215686274,0.6753246753246753,0.0,0.49019607843137253,0,0,0,601,,,,0.0,,0,408,0,193,0.0,,,0.6788685524126455,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_directional_hardware,1,POP~R_D05_1,hardware_directional,False,13.0,232.0,8.0,316.0,0.0,8,0,True,True,False,False,170.0,224.0,232.0,245.0,251.0,280.0,,,,21.0,13.0,56.0,48.0,35.0,8.0,377,0,53,171,1.0,0.8767441860465116,0.9343246592317225,0.0,0.12325581395348838,369,0,61,171,1.0,0.858139534883721,0.9236545682102629,0.0,0.14186046511627906,356,0,74,171,1.0,0.827906976744186,0.905852417302799,0.0,0.17209302325581396,ILLUSTRATIVE - not derived from operator financial data,2356.4,2355.0,1.4,0.1,False,False
